Latin Word,POS,English Meaning,Urdu Meaning
abdo,Verb,,
abeo,Verb,,
abno,Verb,,
acco,Verb,,
aceo,Verb,,
acer,Adjective,,
acuo,Verb,,
addo,Verb,,
adfo,Verb,,
adno,Verb,,
ador,Verb,,
adpo,Verb,,
adso,Verb,,
adto,Verb,,
adua,Adjective,,
afer,Adjective,,
affo,Verb,,
ageo,Verb,,
alba,Adjective,,
albo,Verb,,
aleo,Verb,,
alio,Verb,,
alis,Adjective,,
allo,Verb,,
aloe,Verb,,
alto,Verb,,
aluo,Verb,,
ango,Verb,,
anno,Verb,,
anus,Adjective,,
apio,Verb,,
appo,Verb,,
apso,Verb,,
apto,Verb,,
aquo,Verb,,
arco,Verb,,
areo,Verb,,
armo,Verb,,
arro,Verb,,
arto,Verb,,
arus,Verb,,
asso,Verb,,
asto,Adjective,,
asty,Verb,,
ater,Adjective,,
atto,Verb,,
auco,Verb,,
augo,Verb,,
auis,Verb,,
auro,Verb,,
aveo,Verb,,
avus,Adjective,,
ayma,Adjective,,
balo,Verb,,
bebo,Verb,,
belo,Verb,,
beto,Verb,,
bibo,Verb,,
bigo,Verb,,
bimo,Verb,,
bino,Verb,,
bito,Verb,,
boos,Verb,,
bovo,Verb,,
brum,Adjective,,
bubo,Verb,,
buta,Verb,,
buxa,Verb,,
caco,Verb,,
cado,Verb,,
caio,Verb,,
calo,Verb,,
cano,Verb,,
capo,Verb,,
caro,Verb,,
cauo,Verb,,
cavo,Verb,,
cedo,Verb,,
celo,Verb,,
ceno,Verb,,
cepo,Verb,,
cero,Verb,,
char,Verb,,
cibo,Verb,,
cido,Verb,,
cieo,Verb,,
cito,Verb,,
cluo,Verb,,
coan,Verb,,
coco,Verb,,
cogo,Verb,,
colo,Verb,,
como,Verb,,
cono,Verb,,
coor,Verb,,
coph,Verb,,
copo,Verb,,
cora,Adjective,,
cous,Adjective,,
cras,Adjective,,
creo,Verb,,
cubo,Verb,,
cudo,Verb,,
culo,Verb,,
curo,Verb,,
cuso,Verb,,
cyio,Verb,,
damo,Verb,,
daps,Verb,,
dato,Verb,,
dedo,Verb,,
deeo,Verb,,
dego,Verb,,
demo,Verb,,
depo,Verb,,
deso,Verb,,
deto,Verb,,
dico,Verb,,
dido,Verb,,
dilo,Verb,,
diss,Verb,,
dito,Verb,,
dius,Adjective,,
divo,Verb,,
dolo,Verb,,
domo,Verb,,
dono,Verb,,
doto,Verb,,
dryo,Verb,,
duco,Verb,,
duro,Verb,,
duus,Verb,,
ecco,Verb,,
ecfo,Verb,,
ecus,Adjective,,
edos,Verb,,
effo,Verb,,
egeo,Verb,,
ehes,Adjective,,
eles,Adjective,,
elor,Verb,,
eluo,Verb,,
emir,Adjective,,
emys,Verb,,
eoad,Verb,,
eous,Verb,,
erro,Verb,,
eruo,Verb,,
esco,Verb,,
esom,Verb,,
etus,Verb,,
etux,Adjective,,
evax,Adjective,,
eveo,Verb,,
exeo,Verb,,
exim,Verb,,
expo,Verb,,
exso,Verb,,
exto,Verb,,
exul,Adjective,,
exuo,Verb,,
ezno,Verb,,
fabo,Verb,,
fano,Verb,,
faux,Adjective,,
felo,Verb,,
fero,Verb,,
feto,Verb,,
fico,Verb,,
fido,Verb,,
figo,Verb,,
fleo,Verb,,
fluo,Verb,,
fodo,Verb,,
frax,Adjective,,
frio,Verb,,
fruo,Verb,,
fuco,Verb,,
fugo,Verb,,
fumo,Verb,,
furo,Verb,,
gabo,Verb,,
gelo,Verb,,
gemo,Verb,,
geno,Verb,,
gero,Verb,,
gigo,Verb,,
gluo,Verb,,
gnor,Verb,,
grom,Adjective,,
gyro,Verb,,
halo,Verb,,
heco,Verb,,
heus,Adjective,,
hexa,Adjective,,
hilo,Verb,,
humo,Adjective,,
iana,Adjective,,
icio,Verb,,
icon,Verb,,
icus,Adjective,,
idus,Adjective,,
ilis,Adjective,,
immo,Verb,,
indo,Verb,,
ineo,Verb,,
info,Verb,,
inno,Verb,,
inpo,Verb,,
inri,Verb,,
inso,Verb,,
inst,Adjective,,
into,Verb,,
iris,Verb,,
isao,Verb,,
islo,Verb,,
itum,Verb,,
iuba,Verb,,
iubo,Verb,,
iugo,Verb,,
iuro,Verb,,
iuvo,Verb,,
joco,Verb,,
jubo,Verb,,
jugo,Verb,,
juro,Verb,,
juvo,Verb,,
kalo,Verb,,
labo,Verb,,
laeo,Verb,,
lago,Verb,,
lama,Verb,,
lano,Verb,,
lauo,Verb,,
lavo,Verb,,
laxe,Adjective,,
laxo,Verb,,
ledo,Verb,,
lego,Verb,,
lemo,Verb,,
leto,Verb,,
levo,Adjective,,
libo,Verb,,
lico,Verb,,
ligo,Verb,,
limo,Verb,,
lini,Adjective,,
lino,Verb,,
lito,Verb,,
livo,Verb,,
lobo,Verb,,
loco,Verb,,
lubo,Verb,,
luco,Verb,,
ludo,Verb,,
luno,Verb,,
luro,Verb,,
luxo,Verb,,
mago,Verb,,
malo,Verb,,
mano,Verb,,
maro,Verb,,
meio,Verb,,
melo,Verb,,
memp,Verb,,
mero,Verb,,
meso,Verb,,
meto,Verb,,
meus,Adjective,,
mico,Verb,,
mini,Verb,,
mino,Verb,,
miro,Verb,,
molo,Verb,,
moro,Verb,,
moto,Verb,,
muto,Verb,,
myxa,Adjective,,
nato,Verb,,
navo,Verb,,
nebo,Verb,,
neco,Verb,,
nego,Verb,,
neon,Verb,,
nepa,Verb,,
nesc,Verb,,
neus,Adjective,,
nexo,Verb,,
nito,Verb,,
nixo,Verb,,
nodo,Verb,,
nolo,Verb,,
nona,Adjective,,
noto,Verb,,
novo,Verb,,
nubo,Verb,,
nudo,Verb,,
nuga,Verb,,
nugo,Verb,,
nuto,Verb,,
obdo,Verb,,
obeo,Verb,,
obto,Verb,,
occa,Verb,,
occo,Verb,,
ocis,Adjective,,
octo,Verb,,
offo,Verb,,
oini,Adjective,,
oleo,Verb,,
olti,Adjective,,
opio,Verb,,
oppo,Verb,,
opto,Verb,,
orbo,Verb,,
orio,Verb,,
orno,Verb,,
oroo,Verb,,
oror,Verb,,
orto,Verb,,
orus,Adjective,,
osus,Verb,,
otio,Verb,,
otus,Adjective,,
paco,Verb,,
palo,Verb,,
papo,Verb,,
paro,Verb,,
pato,Verb,,
pedo,Verb,,
pero,Verb,,
peto,Verb,,
phio,Verb,,
pico,Verb,,
pigo,Verb,,
pilo,Verb,,
pino,Verb,,
pium,Adjective,,
pius,Adjective,,
pleo,Verb,,
pluo,Verb,,
plus,Adjective,,
pono,Verb,,
poto,Verb,,
pros,Verb,,
prox,Adjective,,
pudo,Verb,,
puer,Adjective,,
puls,Verb,,
puto,Verb,,
pyho,Verb,,
queo,Verb,,
quio,Verb,,
raco,Verb,,
rado,Verb,,
reco,Verb,,
rego,Verb,,
relo,Verb,,
reor,Verb,,
repo,Verb,,
reso,Verb,,
reto,Verb,,
reus,Adjective,,
revo,Verb,,
ribo,Verb,,
rico,Verb,,
rigo,Verb,,
rimo,Verb,,
rixo,Verb,,
rodo,Verb,,
rogo,Verb,,
roro,Verb,,
roso,Verb,,
roto,Verb,,
ruco,Verb,,
rudo,Verb,,
rugo,Verb,,
ruro,Verb,,
sago,Verb,,
salo,Verb,,
sano,Verb,,
save,Adjective,,
scio,Verb,,
scus,Verb,,
seco,Verb,,
sedo,Verb,,
seet,Adjective,,
seps,Adjective,,
serm,Verb,,
sero,Verb,,
sido,Verb,,
simo,Verb,,
sino,Verb,,
sipo,Verb,,
sodo,Verb,,
solo,Verb,,
sono,Verb,,
spuo,Verb,,
stlo,Verb,,
stro,Verb,,
stus,Adjective,,
subo,Verb,,
sudo,Verb,,
sueo,Verb,,
sugo,Verb,,
suio,Verb,,
sumo,Verb,,
supo,Verb,,
supp,Verb,,
suus,Adjective,,
syce,Verb,,
tago,Verb,,
tama,Verb,,
taro,Verb,,
taxo,Verb,,
tego,Verb,,
telo,Verb,,
temo,Verb,,
tero,Verb,,
texo,Verb,,
tono,Verb,,
trio,Verb,,
truo,Verb,,
trux,Verb,,
tubo,Verb,,
tueo,Verb,,
tuio,Verb,,
tute,Verb,,
tuto,Verb,,
tuus,Adjective,,
uaco,Verb,,
uado,Verb,,
uago,Verb,,
udus,Adjective,,
ueto,Verb,,
uior,Adjective,,
uiuo,Adjective,,
umeo,Verb,,
umus,Verb,,
unco,Verb,,
undo,Verb,,
ungo,Verb,,
unus,Adjective,,
uoco,Verb,,
uolo,Verb,,
urco,Verb,,
urus,Adjective,,
uslm,Adjective,,
usus,Verb,,
utis,Verb,,
utor,Verb,,
vaco,Verb,,
vado,Verb,,
vago,Verb,,
vauo,Verb,,
veco,Verb,,
veho,Verb,,
velo,Verb,,
veno,Verb,,
verr,Adjective,,
veto,Verb,,
vexo,Verb,,
vieo,Verb,,
viso,Verb,,
vito,Verb,,
vivo,Verb,,
voco,Verb,,
volo,Verb,,
vomo,Verb,,
voro,Verb,,
voto,Verb,,
waco,Verb,,
zaeo,Verb,,
zelo,Verb,,
zygo,Verb,,
zzzo,Verb,,
abaeo,Verb,,
abano,Verb,,
abbia,Adjective,,
abico,Verb,,
abigo,Verb,,
abito,Verb,,
abluo,Verb,,
abnuo,Verb,,
absto,Verb,,
abujo,Verb,,
abuto,Verb,,
acceo,Verb,,
accua,Adjective,,
aceus,Adjective,,
achar,Verb,,
acteo,Verb,,
actuo,Verb,,
acueo,Verb,,
acuto,Verb,,
adaer,Verb,,
adamo,Verb,,
adaro,Verb,,
adbio,Verb,,
adedo,Verb,,
adflo,Verb,,
adfuo,Verb,,
adhoc,Adjective,,
adigo,Verb,,
adimo,Verb,,
adipo,Verb,,
adips,Verb,,
adito,Verb,,
adjuo,Verb,,
adluo,Verb,,
admeo,Verb,,
adnuo,Verb,,
adolo,Verb,,
adoro,Verb,,
adruo,Verb,,
adsco,Verb,,
adsto,Verb,,
adsum,Verb,,
adsuo,Verb,,
adtuo,Verb,,
adulo,Verb,,
aduno,Verb,,
aduro,Verb,,
aecus,Adjective,,
aeger,Adjective,,
aenus,Adjective,,
aequo,Verb,,
aetio,Verb,,
aetne,Adjective,,
afflo,Verb,,
affuo,Verb,,
afluo,Verb,,
agago,Verb,,
agero,Verb,,
ageto,Verb,,
agino,Verb,,
agito,Verb,,
agnus,Adjective,,
aivom,Verb,,
alaio,Verb,,
alaso,Verb,,
albeo,Verb,,
albor,Verb,,
albus,Adjective,,
alear,Verb,,
algeo,Verb,,
allec,Verb,,
alluo,Adjective,,
almus,Adjective,,
alnus,Adjective,,
alsus,Adjective,,
alter,Adjective,,
altus,Adjective,,
alveo,Verb,,
ambeo,Verb,,
amens,Adjective,,
amico,Verb,,
ammeo,Verb,,
ample,Verb,,
amplo,Verb,,
amylo,Verb,,
anclo,Verb,,
andto,Verb,,
animo,Verb,,
annuo,Verb,,
ansus,Adjective,,
antoo,Verb,,
antus,Adjective,,
anulo,Verb,,
anxio,Verb,,
anxus,Adjective,,
apago,Verb,,
apina,Adjective,,
apius,Verb,,
appro,Verb,,
apsto,Verb,,
apter,Adjective,,
aptus,Adjective,,
aquor,Verb,,
arabs,Adjective,,
arceo,Verb,,
arcto,Verb,,
arcuo,Verb,,
ardeo,Verb,,
ardus,Adjective,,
areno,Verb,,
areus,Verb,,
arguo,Verb,,
armeo,Verb,,
arnus,Adjective,,
arquo,Verb,,
arrho,Verb,,
arruo,Verb,,
artab,Adjective,,
artro,Verb,,
artus,Adjective,,
arvus,Adjective,,
ascio,Verb,,
asina,Adjective,,
asino,Verb,,
asper,Adjective,,
aspuo,Verb,,
assuo,Verb,,
assus,Verb,,
ather,Adjective,,
atrax,Adjective,,
atror,Verb,,
atrox,Adjective,,
attuo,Verb,,
auceo,Verb,,
aucto,Verb,,
aucus,Adjective,,
audax,Adjective,,
audeo,Verb,,
audio,Verb,,
augeo,Verb,,
ausos,Verb,,
ausus,Verb,,
aveho,Verb,,
avena,Adjective,,
avius,Adjective,,
avoco,Verb,,
avolo,Verb,,
bacco,Verb,,
baeto,Verb,,
bagus,Adjective,,
ballo,Verb,,
barbo,Verb,,
basio,Verb,,
batna,Adjective,,
batto,Verb,,
batum,Verb,,
batuo,Verb,,
baubo,Verb,,
beber,Adjective,,
bello,Verb,,
berus,Adjective,,
bibax,Adjective,,
bideo,Verb,,
bifax,Adjective,,
bifer,Adjective,,
bigus,Adjective,,
bilbo,Verb,,
bilio,Adjective,,
bilis,Adjective,,
bilix,Adjective,,
bimar,Verb,,
bimus,Adjective,,
binus,Adjective,,
bison,Adjective,,
biuis,Adjective,,
bonus,Adjective,,
brido,Verb,,
brigo,Verb,,
bucar,Verb,,
bullo,Verb,,
caeco,Verb,,
caedo,Verb,,
caelo,Verb,,
caeno,Verb,,
caess,Adjective,,
calco,Verb,,
caleo,Verb,,
callo,Verb,,
calvo,Verb,,
camur,Adjective,,
canae,Adjective,,
caneo,Verb,,
canno,Verb,,
canto,Verb,,
canuo,Verb,,
canus,Adjective,,
capax,Adjective,,
caper,Verb,,
capio,Verb,,
capso,Verb,,
capto,Verb,,
capys,Adjective,,
careo,Verb,,
carpa,Verb,,
carpo,Verb,,
carro,Verb,,
carus,Adjective,,
casso,Verb,,
catta,Verb,,
catus,Adjective,,
cauis,Adjective,,
causo,Verb,,
cauus,Adjective,,
cavea,Verb,,
caveo,Verb,,
cavus,Adjective,,
celer,Adjective,,
celox,Adjective,,
cenio,Verb,,
cerco,Verb,,
cerno,Verb,,
certo,Verb,,
cesso,Verb,,
ceveo,Verb,,
chaer,Verb,,
chalo,Verb,,
chius,Adjective,,
cidus,Adjective,,
cilio,Verb,,
cillo,Verb,,
cinco,Verb,,
cingo,Verb,,
circo,Verb,,
citer,Adjective,,
citus,Adjective,,
clamo,Verb,,
claro,Verb,,
clavo,Verb,,
clepo,Verb,,
clino,Verb,,
clodo,Verb,,
cludo,Verb,,
clueo,Verb,,
cluor,Verb,,
cnido,Verb,,
coaco,Verb,,
coago,Verb,,
coalo,Verb,,
coaro,Verb,,
coaxo,Verb,,
codus,Adjective,,
coemo,Verb,,
coeno,Verb,,
coepi,Verb,,
coeso,Verb,,
coeus,Adjective,,
cogno,Adjective,,
cohus,Verb,,
collo,Verb,,
colus,Verb,,
comis,Adjective,,
commo,Verb,,
compo,Verb,,
condo,Verb,,
conor,Verb,,
conpo,Verb,,
conso,Verb,,
conto,Verb,,
copio,Verb,,
copta,Verb,,
copti,Verb,,
copto,Verb,,
coquo,Verb,,
corax,Adjective,,
cordo,Verb,,
couto,Verb,,
coxos,Verb,,
coxus,Adjective,,
crata,Verb,,
credo,Verb,,
cremo,Verb,,
creno,Verb,,
crepo,Verb,,
criso,Verb,,
croco,Verb,,
cromi,Adjective,,
crueo,Verb,,
crybo,Verb,,
cucur,Adjective,,
cujus,Adjective,,
culpo,Verb,,
cuneo,Verb,,
cupio,Verb,,
cuppa,Verb,,
cures,Adjective,,
curro,Verb,,
curso,Verb,,
curto,Verb,,
curvo,Verb,,
damno,Verb,,
daseo,Verb,,
deago,Verb,,
deamo,Verb,,
debeo,Verb,,
deceo,Verb,,
decet,Verb,,
decio,Verb,,
dedus,Verb,,
dedux,Verb,,
defao,Verb,,
defio,Verb,,
deflo,Verb,,
deleo,Verb,,
delor,Verb,,
deluo,Verb,,
demeo,Verb,,
denda,Verb,,
denso,Verb,,
dento,Verb,,
depro,Verb,,
depso,Verb,,
depuo,Verb,,
dereo,Verb,,
deruo,Verb,,
desco,Verb,,
desuo,Verb,,
detro,Verb,,
deuro,Verb,,
deuto,Verb,,
deveo,Verb,,
devio,Verb,,
dexto,Verb,,
dicax,Adjective,,
dicto,Verb,,
dicus,Verb,,
didus,Adjective,,
diffo,Verb,,
diger,Verb,,
digno,Verb,,
dilor,Verb,,
diluo,Adjective,,
dindo,Verb,,
dinus,Adjective,,
dipdo,Verb,,
diruo,Verb,,
dirus,Adjective,,
disco,Verb,,
disdo,Verb,,
dispo,Verb,,
disto,Verb,,
ditto,Verb,,
diues,Adjective,,
diuus,Adjective,,
divio,Verb,,
divus,Adjective,,
doceo,Verb,,
docus,Adjective,,
dodro,Verb,,
dolba,Adjective,,
doleo,Verb,,
dolgo,Verb,,
ducto,Verb,,
dulco,Verb,,
dumuo,Verb,,
durus,Adjective,,
ealis,Adjective,,
ebeto,Adjective,,
ebibo,Verb,,
eburo,Verb,,
ecquo,Verb,,
edera,Verb,,
edico,Verb,,
edius,Adjective,,
edolo,Verb,,
edomo,Verb,,
educo,Verb,,
effeo,Verb,,
efflo,Verb,,
egero,Verb,,
egomo,Verb,,
eicio,Verb,,
eiero,Verb,,
ejeco,Verb,,
ejulo,Verb,,
ejuro,Verb,,
elabo,Verb,,
elego,Adjective,,
elevo,Verb,,
elido,Verb,,
eligo,Verb,,
elimo,Verb,,
elisa,Adjective,,
elluo,Verb,,
ellus,Adjective,,
eludo,Verb,,
eluus,Verb,,
emano,Verb,,
emico,Verb,,
emiro,Verb,,
enato,Verb,,
eneco,Verb,,
enico,Verb,,
enito,Verb,,
enodo,Verb,,
enubo,Verb,,
epoto,Verb,,
epulo,Verb,,
equus,Adjective,,
erado,Verb,,
erana,Adjective,,
erepo,Verb,,
erice,Verb,,
erigo,Verb,,
erogo,Verb,,
erudo,Verb,,
erugo,Verb,,
esceo,Verb,,
escus,Verb,,
etseq,Verb,,
euado,Verb,,
evado,Verb,,
evago,Verb,,
eveho,Verb,,
eviro,Verb,,
evito,Verb,,
evoco,Verb,,
evolo,Verb,,
evomo,Verb,,
exalo,Verb,,
exapo,Verb,,
exaro,Verb,,
execo,Verb,,
exedo,Verb,,
exero,Verb,,
exher,Verb,,
exico,Verb,,
exigo,Verb,,
